date,category,name,change,percentage
2020-04-01,Video Card Description,NVIDIA GeForce GTX 970,0.0006,0.021
2020-04-01,Video Card Description,NVIDIA GeForce GTX 970M,0.0001,0.0029
2020-04-01,Video Card Description,NVIDIA GeForce GTX 980,0.0001,0.0041
2020-04-01,Video Card Description,NVIDIA GeForce GTX 980 Ti,0.0,0.0038
2020-04-01,Video Card Description,NVIDIA GeForce MX110,0.0003,0.0026
2020-04-01,Video Card Description,NVIDIA GeForce MX130,0.0003,0.0028
2020-04-01,Video Card Description,NVIDIA GeForce MX150,0.0001,0.007
2020-04-01,Video Card Description,NVIDIA GeForce MX250,0.0,0.0033
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2060,-0.0038,0.0221
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,-0.0001,0.0071
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2070,-0.0021,0.0171
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0003,0.0119
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2080,-0.0005,0.0096
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,-0.0004,0.0047
2020-04-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.0004,0.0077
2020-05-01,Video Card Description,NVIDIA GeForce 840M,-0.0001,0.0033
2020-05-01,Video Card Description,NVIDIA GeForce 920M,-0.0001,0.0037
2020-05-01,Video Card Description,NVIDIA GeForce 920MX,0.0001,0.003
2020-05-01,Video Card Description,NVIDIA GeForce 940M,-0.0005,0.0097
2020-05-01,Video Card Description,NVIDIA GeForce 940MX,0.0,0.0022
2020-05-01,Video Card Description,NVIDIA GeForce GT 1030,0.0,0.0056
2020-05-01,Video Card Description,NVIDIA GeForce GT 630,-0.0001,0.0026
2020-05-01,Video Card Description,NVIDIA GeForce GT 710,0.0002,0.0032
2020-05-01,Video Card Description,NVIDIA GeForce GT 720M,-0.0001,0.0055
2020-05-01,Video Card Description,NVIDIA GeForce GT 730,-0.0002,0.0062
2020-05-01,Video Card Description,NVIDIA GeForce GT 740M,-0.0001,0.0022
2020-05-01,Video Card Description,NVIDIA GeForce GTS 450,0.0,0.0017
2020-05-01,Video Card Description,NVIDIA GeForce GTX 1050,-0.001,0.0507
